icd9_code,short_title,long_title
0030,Salmonella enteritis,Salmonella gastroenteritis
0031,Salmonella septicemia,Salmonella septicemia
0038,Salmonella infection NEC,Other specified salmonella infections
0039,Salmonella infection NOS,"Salmonella infection, unspecified"
0041,Shigella flexneri,Shigella flexneri
0048,Shigella infection NEC,Other specified shigella infections
0049,Shigellosis NOS,"Shigellosis, unspecified"
0051,Botulism food poisoning,Botulism food poisoning
00581,Food poisn d/t v. vulnif,Food poisoning due to Vibrio vulnificus
0059,Food poisoning NOS,"Food poisoning, unspecified"
0071,Giardiasis,Giardiasis
0074,Cryptosporidiosis,Cryptosporidiosis
00804,Int inf e coli entrhmrg,Intestinal infection due to enterohemorrhagic E. coli
00841,Staphylococc enteritis,Intestinal infection due to staphylococcus
00843,Int infec campylobacter,Intestinal infection due to campylobacter
00845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile
00847,Int inf oth grm neg bctr,Intestinal infection due to other gram-negative bacteria
0085,Bacterial enteritis NOS,"Bacterial enteritis, unspecified"
00861,Intes infec rotavirus,Enteritis due to rotavirus
00862,Intes infec adenovirus,Enteritis due to adenovirus
00863,Int inf norwalk virus,Enteritis due to norwalk virus
00869,Other viral intes infec,Enteritis due to other viral enteritis
0088,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified"
0090,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis"
0091,Enteritis of infect orig,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
0092,Infectious diarrhea NOS,Infectious diarrhea
0093,Diarrhea of infect orig,Diarrhea of presumed infectious origin
01085,Prim prg TB NEC-histo dx,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01123,TB lung w cavit-micro dx,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
01136,TB of bronchus-oth test,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01164,TB pneumonia-cult dx,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01186,Pulmon TB NEC-oth test,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01190,Pulmonary TB NOS-unspec,"Pulmonary tuberculosis, unspecified, unspecified"
01193,Pulmon TB NOS-micro dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
01194,Pulmon TB NOS-cult dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01205,TB pleurisy-histolog dx,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01215,TB thorax node-histo dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01300,TB meningitis-unspec,"Tuberculous meningitis, unspecified"
01304,TB meningitis-cult dx,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01325,Tubrcloma brain-histo dx,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01330,TB brain abscess-unspec,"Tuberculous abscess of brain, unspecified"
01354,TB sp crd absc-cult dx,"Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01402,TB peritonitis-exam unkn,"Tuberculous peritonitis, bacteriological or histological examination unknown (at present)"
01405,TB peritonitis-histo dx,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01485,Intestin TB NEC-histo dx,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01504,TB of vertebra-cult dx,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01505,TB of vertebra-histo dx,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01803,Ac miliary tb-micro dx,"Acute miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01805,Ac miliary tb-histo dx,"Acute miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01880,Miliary TB NEC-unspec,"Other specified miliary tuberculosis, unspecified"
01890,Miliary TB NOS-unspec,"Miliary tuberculosis, unspecified, unspecified"
01894,Miliary TB NOS-cult dx,"Miliary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01895,Miliary TB NOS-histo dx,"Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01896,Miliary TB NOS-oth test,"Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0218,Tularemia NEC,Other specified tularemia
0239,Brucellosis NOS,"Brucellosis, unspecified"
0270,Listeriosis,Listeriosis
0272,Pasteurellosis,Pasteurellosis
0279,Zoonotic bact dis NOS,Unspecified zoonotic bacterial disease
0309,Leprosy NOS,"Leprosy, unspecified"
0310,Pulmonary mycobacteria,Pulmonary diseases due to other mycobacteria
0311,Cutaneous mycobacteria,Cutaneous diseases due to other mycobacteria
0312,DMAC bacteremia,Disseminated due to other mycobacteria
0318,Mycobacterial dis NEC,Other specified mycobacterial diseases
0319,Mycobacterial dis NOS,Unspecified diseases due to mycobacteria
03285,Cutaneous diphtheria,Cutaneous diphtheria
03289,Diphtheria NEC,Other specified diphtheria
0329,Diphtheria NOS,"Diphtheria, unspecified"
0338,Whooping cough NEC,Whooping cough due to other specified organism
0340,Strep sore throat,Streptococcal sore throat
035,Erysipelas,Erysipelas
0360,Meningococcal meningitis,Meningococcal meningitis
0362,Meningococcemia,Meningococcemia
03641,Meningococc pericarditis,Meningococcal pericarditis
0380,Streptococcal septicemia,Streptococcal septicemia
03810,Staphylcocc septicem NOS,"Staphylococcal septicemia, unspecified"
03811,Meth susc Staph aur sept,Methicillin susceptible Staphylococcus aureus septicemia
03812,MRSA septicemia,Methicillin resistant Staphylococcus aureus septicemia
03819,Staphylcocc septicem NEC,Other staphylococcal septicemia
0382,Pneumococcal septicemia,Pneumococcal septicemia [Streptococcus pneumoniae septicemia]
0383,Anaerobic septicemia,Septicemia due to anaerobes
03840,Gram-neg septicemia NOS,"Septicemia due to gram-negative organism, unspecified"
03841,H. influenae septicemia,Septicemia due to hemophilus influenzae [H. influenzae]
03842,E coli septicemia,Septicemia due to escherichia coli [E. coli]
03843,Pseudomonas septicemia,Septicemia due to pseudomonas
03844,Serratia septicemia,Septicemia due to serratia
03849,Gram-neg septicemia NEC,Other septicemia due to gram-negative organisms
0388,Septicemia NEC,Other specified septicemias
0389,Septicemia NOS,Unspecified septicemia
0391,Pulmonary actinomycosis,Pulmonary actinomycotic infection
0392,Abdominal actinomycosis,Abdominal actinomycotic infection
0398,Actinomycosis NEC,Actinomycotic infection of other specified sites
0400,Gas gangrene,Gas gangrene
04082,Toxic shock syndrome,Toxic shock syndrome
04089,Bacterial diseases NEC,Other specified bacterial diseases
04100,Streptococcus unspecf,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified"
04101,Streptococcus group a,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A"
04102,Streptococcus group b,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B"
04103,Streptococcus group c,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group C"
04104,Enterococcus group d,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
04105,Streptococcus group g,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group G"
04109,Other streptococcus,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus"
04110,Staphylococcus unspcfied,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified"
04111,Mth sus Stph aur els/NOS,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
04112,MRSA elsewhere/NOS,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site
04119,Other staphylococcus,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus"
0412,Pneumococcus infect NOS,Pneumococcus infection in conditions classified elsewhere and of unspecified site
0413,Klebsiella pneumoniae,Friedl?nder's bacillus infection in conditions classified elsewhere and of unspecified site
04149,E.coli infection NEC/NOS,Other and unspecified Escherichia coli [E. coli]
0415,H. influenzae infect NOS,Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site
0416,Proteus infection NOS,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site
0417,Pseudomonas infect NOS,Pseudomonas infection in conditions classified elsewhere and of unspecified site
04182,Bacteroides fragilis,Bacteroides fragilis
04183,Clostridium perfringens,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, Clostridium perfringens"
04184,Other anaerobes,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
04185,Oth gram negatv bacteria,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms"
04186,Helicobacter pylori,Helicobacter pylori [H. pylori]
04189,Oth specf bacteria,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria"
0419,Bacterial infection NOS,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
042,Human immuno virus dis,Human immunodeficiency virus [HIV] disease
04590,Ac polio NOS-type NOS,"Acute poliomyelitis, unspecified, poliovirus, unspecified type"
0463,Prog multifoc leukoencep,Progressive multifocal leukoencephalopathy
04671,Gerstmn-Straus-Schnk syn,Gerstmann-Str?ussler-Scheinker syndrome
0470,Coxsackie virus mening,Meningitis due to coxsackie virus
0478,Viral meningitis NEC,Other specified viral meningitis
0479,Viral meningitis NOS,Unspecified viral meningitis
048,Oth enteroviral cns dis,Other enterovirus diseases of central nervous system
0490,Lymphocytic choriomening,Lymphocytic choriomeningitis
0491,Adenoviral meningitis,Meningitis due to adenovirus
0498,Viral encephalitis NEC,Other specified non-arthropod-borne viral diseases of central nervous system
0499,Viral encephalitis NOS,Unspecified non-arthropod-borne viral diseases of central nervous system
0520,Postvaricella encephalit,Postvaricella encephalitis
0521,Varicella pneumonitis,Varicella (hemorrhagic) pneumonitis
0527,Varicella complicat NEC,Chickenpox with other specified complications
0529,Varicella uncomplicated,Varicella without mention of complication
0530,Herpes zoster meningitis,Herpes zoster with meningitis
05311,Geniculate herpes zoster,Geniculate herpes zoster
05312,Postherpes trigem neural,Postherpetic trigeminal neuralgia
05313,Postherpes polyneuropath,Postherpetic polyneuropathy
05314,Herpes zoster myelitis,Herpes zoster myelitis
05319,H zoster nerv syst NEC,Herpes zoster with other nervous system complications
05320,Herpes zoster of eyelid,Herpes zoster dermatitis of eyelid
05329,Herpes zoster of eye NEC,Herpes zoster with other ophthalmic complications
05371,H zoster otitis externa,Otitis externa due to herpes zoster
05379,H zoster complicated NEC,Herpes zoster with other specified complications
0539,Herpes zoster NOS,Herpes zoster without mention of complication
0540,Eczema herpeticum,Eczema herpeticum
05410,Genital herpes NOS,"Genital herpes, unspecified"
05412,Herpetic ulcer of vulva,Herpetic ulceration of vulva
05413,Herpetic infect of penis,Herpetic infection of penis
05419,Genital herpes NEC,Other genital herpes
0542,Herpetic gingivostomat,Herpetic gingivostomatitis
0543,Herpetic encephalitis,Herpetic meningoencephalitis
05440,Herpes simplex eye NOS,Herpes simplex with unspecified ophthalmic complication
05443,H simplex keratitis,Herpes simplex disciform keratitis
0545,Herpetic septicemia,Herpetic septicemia
05471,Visceral herpes simplex,Visceral herpes simplex
05472,H simplex meningitis,Herpes simplex meningitis
05479,H simplex complicat NEC,Herpes simplex with other specified complications
0549,Herpes simplex NOS,Herpes simplex without mention of complication
0578,Viral exanthemata NEC,Other specified viral exanthemata
0579,Viral exanthemata NOS,"Viral exanthem, unspecified"
05821,Human herpesvir 6 enceph,Human herpesvirus 6 encephalitis
05829,Human herpesvr encph NEC,Other human herpesvirus encephalitis
05881,Human herpesvirus 6 infc,Human herpesvirus 6 infection
05889,Human herpesvirs inf NEC,Other human herpesvirus infection
0622,East equine encephalitis,Eastern equine encephalitis
06641,West Nile Fever w/enceph,West Nile Fever with encephalitis
06642,West Nile neuro man NEC,West Nile Fever with other neurologic manifestation
0700,Hepatitis A with coma,Viral hepatitis A with hepatic coma
0701,Hepatitis A w/o coma,Viral hepatitis A without mention of hepatic coma
07020,Hpt B acte coma wo dlta,"Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta"
07022,Hpt B chrn coma wo dlta,Chronic viral hepatitis B with hepatic coma without hepatitis delta
07030,Hpt B acte wo cm wo dlta,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
07031,Hpt B acte wo cm w dlta,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta"
07032,Hpt B chrn wo cm wo dlta,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta
07033,Hpt B chrn wo cm w dlta,Chronic viral hepatitis B without mention of hepatic coma with hepatitis delta
07041,Hpt C acute w hepat Coma,Acute hepatitis C with hepatic coma
07044,Chrnc hpt C w hepat Coma,Chronic hepatitis C with hepatic coma
07049,Oth vrl hepat w hpt coma,Other specified viral hepatitis with hepatic coma
07051,Hpt C acute wo hpat coma,Acute hepatitis C without mention of hepatic coma
07052,Hpt dlt wo b wo hpt coma,Hepatitis delta without mention of active hepatitis B disease or hepatic coma
07053,Hpt E wo hepat Coma,Hepatitis E without mention of hepatic coma
07054,Chrnc hpt C wo hpat coma,Chronic hepatitis C without mention of hepatic coma
07059,Oth vrl hpat wo hpt coma,Other specified viral hepatitis without mention of hepatic coma
07070,Hpt C w/o hepat coma NOS,Unspecified viral hepatitis C without hepatic coma
07071,Hpt C w hepatic coma NOS,Unspecified viral hepatitis C with hepatic coma
0709,Viral hepat NOS w/o coma,Unspecified viral hepatitis without mention of hepatic coma
075,Infectious mononucleosis,Infectious mononucleosis
0778,Viral conjunctivitis NEC,Other viral conjunctivitis
