icd9_code,short_title,long_title
V011,Tuberculosis contact,Contact with or exposure to tuberculosis
V016,Venereal dis contact,Contact with or exposure to venereal diseases
V0179,Viral dis contact NEC,Contact with or exposure to other viral diseases
V0189,Communic dis contact NEC,Contact with or exposure to other communicable diseases
V020,Cholera carrier,Carrier or suspected carrier of cholera
V023,GI pathogen carrier NEC,Carrier or suspected carrier of other gastrointestinal pathogens
V024,Diphtheria carrier,Carrier or suspected carrier of diphtheria
V0251,Group b streptoc carrier,Carrier or suspected carrier of group B streptococcus
V0252,Streptococus carrier NEC,Carrier or suspected carrier of other streptococcus
V0253,Meth susc Staph carrier,Carrier or suspected carrier of Methicillin susceptible Staphylococcus aureus
V0254,Meth resis Staph carrier,Carrier or suspected carrier of Methicillin resistant Staphylococcus aureus
V0259,Bacteria dis carrier NEC,Carrier or suspected carrier of other specified bacterial diseases
V0261,Hepatitis B carrier,Hepatitis B carrier
V0262,Hepatitis C carrier,Hepatitis C carrier
V029,Carrier NEC,Carrier or suspected carrier of other specified infectious organism
V037,Tetanus toxoid inoculat,Need for prophylactic vaccination and inoculation against tetanus toxoid alone
V0381,Nd vac hmophlus inflnz b,"Other specified vaccinations against hemophilus influenza, type B [Hib]"
V0382,Nd vac strptcs pneumni b,Other specified vaccinations against streptococcus pneumoniae [pneumococcus]
V0389,Nd other specf vacnation,Other specified vaccination
V040,Vaccin for poliomyelitis,Need for prophylactic vaccination and inoculation against poliomyelitis
V045,Vaccin for rabies,Need for prophylactic vaccination and inoculation against rabies
V0481,Vaccin for influenza,Need for prophylactic vaccination and inoculation against influenza
V0482,Vaccination for RSV,Need for prophylactic vaccination and inoculation against respiratory syncytial virus (RSV)
V0489,Vaccn/inoc viral dis NEC,Need for prophylactic vaccination and inoculation against other viral diseases
V052,Vaccin for leishmaniasis,Need for prophylactic vaccination and inoculation against leishmaniasis
V053,Need prphyl vc vrl hepat,Need for prophylactic vaccination and inoculation against viral hepatitis
V058,Vaccin for disease NEC,Need for prophylactic vaccination and inoculation against other specified disease
